func_ov011_0212b160 kind:function(arm,size=0x2c) addr:0x0212b160
data_ov011_0212ec08 kind:data(any) addr:0x0212ec08
data_ov011_0212ec10 kind:data(any) addr:0x0212ec10
data_ov011_0212ec18 kind:data(any) addr:0x0212ec18
data_ov011_0212ec20 kind:data(any) addr:0x0212ec20
data_ov011_0212ec28 kind:data(any) addr:0x0212ec28
data_ov011_0212ec30 kind:data(any) addr:0x0212ec30
data_ov011_0212ec38 kind:data(any) addr:0x0212ec38
data_ov011_0212ec40 kind:data(any) addr:0x0212ec40
data_ov011_0212ec48 kind:data(any) addr:0x0212ec48
data_ov011_0212ec50 kind:data(any) addr:0x0212ec50
data_ov011_0212ec60 kind:data(any) addr:0x0212ec60
data_ov011_0212ec70 kind:data(any) addr:0x0212ec70
data_ov011_0212ec80 kind:data(any) addr:0x0212ec80
data_ov011_0212ec90 kind:data(any) addr:0x0212ec90
data_ov011_0212eca0 kind:data(any) addr:0x0212eca0
data_ov011_0212ecb0 kind:data(any) addr:0x0212ecb0
data_ov011_0212ecc0 kind:data(any) addr:0x0212ecc0
data_ov011_0212ecd0 kind:data(any) addr:0x0212ecd0
data_ov011_0212ece0 kind:data(any) addr:0x0212ece0
data_ov011_0212ecf0 kind:data(any) addr:0x0212ecf0
data_ov011_0212ed00 kind:data(any) addr:0x0212ed00
data_ov011_0212ed10 kind:data(any) addr:0x0212ed10
data_ov011_0212ed20 kind:data(any) addr:0x0212ed20
data_ov011_0212ed30 kind:data(any) addr:0x0212ed30
data_ov011_0212ed40 kind:data(any) addr:0x0212ed40
data_ov011_0212ed50 kind:data(any) addr:0x0212ed50
data_ov011_0212ed60 kind:data(any) addr:0x0212ed60
data_ov011_0212ed70 kind:data(any) addr:0x0212ed70
data_ov011_0212ed84 kind:data(any) addr:0x0212ed84
data_ov011_0212ed9c kind:data(any) addr:0x0212ed9c
data_ov011_0212edb4 kind:data(any) addr:0x0212edb4
data_ov011_0212edcc kind:data(any) addr:0x0212edcc
data_ov011_0212ede4 kind:data(any) addr:0x0212ede4
data_ov011_0212edfc kind:data(any) addr:0x0212edfc
data_ov011_0212ee14 kind:data(any) addr:0x0212ee14
data_ov011_0212ee2c kind:data(any) addr:0x0212ee2c
data_ov011_0212ee44 kind:data(any) addr:0x0212ee44
data_ov011_0212ee5c kind:data(any) addr:0x0212ee5c
data_ov011_0212ee74 kind:data(any) addr:0x0212ee74
data_ov011_0212ee94 kind:data(any) addr:0x0212ee94
data_ov011_0212eeb4 kind:data(any) addr:0x0212eeb4
data_ov011_0212eed4 kind:data(any) addr:0x0212eed4
data_ov011_0212eef4 kind:data(any) addr:0x0212eef4
data_ov011_0212ef14 kind:data(any) addr:0x0212ef14
data_ov011_0212ef34 kind:data(any) addr:0x0212ef34
data_ov011_0212ef58 kind:data(any) addr:0x0212ef58
data_ov011_0212ef88 kind:data(any) addr:0x0212ef88
data_ov011_0212efb8 kind:data(any) addr:0x0212efb8
data_ov011_0212efe8 kind:data(any) addr:0x0212efe8
data_ov011_0212f018 kind:data(any) addr:0x0212f018
data_ov011_0212f050 kind:data(any) addr:0x0212f050
data_ov011_0212f08c kind:data(any) addr:0x0212f08c
data_ov011_0212f0d8 kind:data(any) addr:0x0212f0d8
data_ov011_0212f12c kind:data(any) addr:0x0212f12c
data_ov011_0212f180 kind:data(any) addr:0x0212f180
data_ov011_0212f1dc kind:data(any) addr:0x0212f1dc
data_ov011_0212f23c kind:data(any) addr:0x0212f23c
data_ov011_0212f2bc kind:data(any) addr:0x0212f2bc
data_ov011_0212f344 kind:data(any) addr:0x0212f344
data_ov011_0212f3e4 kind:data(any) addr:0x0212f3e4
data_ov011_0212f48c kind:data(any) addr:0x0212f48c
data_ov011_0212f54c kind:data(any) addr:0x0212f54c
data_ov011_0212f62c kind:data(any) addr:0x0212f62c
data_ov011_0212f630 kind:data(any) addr:0x0212f630
data_ov011_0212f714 kind:data(any) addr:0x0212f714
data_ov011_0212f724 kind:data(any) addr:0x0212f724
_ZTV10PlayerBase kind:data(any) addr:0x0212f72c
data_ov011_0212f850 kind:data(any) addr:0x0212f850
data_ov011_0212f868 kind:data(any) addr:0x0212f868
data_ov011_0212f870 kind:data(any) addr:0x0212f870
data_ov011_0212f8b8 kind:data(any) addr:0x0212f8b8
data_ov011_0212f8c8 kind:data(any) addr:0x0212f8c8
data_ov011_0212f8e0 kind:bss addr:0x0212f8e0
data_ov011_0212f8e4 kind:bss addr:0x0212f8e4
data_ov011_0212f8ec kind:bss addr:0x0212f8ec
data_ov011_0212f8f0 kind:bss addr:0x0212f8f0
